city,latitude,longitude,region,languages,timezone,attractions,date,high_c,low_c,feels_like_c,rain_probability,weather_condition,day_length,season,climate_risk,travel_recommendation,travel_score
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,Gold Museum | Monserrate Hill | La Candelaria | Simon Bolivar Park,2026-06-07,19.7,10.4,18.6,99.0,Light drizzle,12h 23m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,Gold Museum | Monserrate Hill | La Candelaria | Simon Bolivar Park,2026-06-08,20.1,11.7,21.2,100.0,Light rain,12h 24m,Summer,Heavy rain risk,Not recommended high chance of rain,4.0
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,Gold Museum | Monserrate Hill | La Candelaria | Simon Bolivar Park,2026-06-09,19.8,12.3,21.3,100.0,Light showers,12h 23m,Summer,Heavy rain risk,Not recommended high chance of rain,3.0
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,Gold Museum | Monserrate Hill | La Candelaria | Simon Bolivar Park,2026-06-10,18.6,11.7,19.5,86.0,Moderate rain,12h 23m,Summer,Heavy rain risk,Not recommended high chance of rain,3.0
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,Gold Museum | Monserrate Hill | La Candelaria | Simon Bolivar Park,2026-06-11,18.5,9.8,20.4,100.0,Moderate drizzle,12h 23m,Summer,Heavy rain risk,Not recommended high chance of rain,3.0
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,Gold Museum | Monserrate Hill | La Candelaria | Simon Bolivar Park,2026-06-12,18.8,8.7,20.7,94.0,Moderate drizzle,12h 24m,Summer,Heavy rain risk,Not recommended high chance of rain,3.0
Bogota,4.711,-74.0721,Americas,Spanish,America/Bogota,Gold Museum | Monserrate Hill | La Candelaria | Simon Bolivar Park,2026-06-13,19.5,10.5,21.0,88.0,Moderate drizzle,12h 24m,Summer,Heavy rain risk,Not recommended high chance of rain,3.0
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,Lincoln Memorial | Smithsonian Museums | Capitol Building | National Mall,2026-06-07,32.8,21.4,34.1,29.0,Overcast,14h 49m,Summer,No risk,Recommended,6.0
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,Lincoln Memorial | Smithsonian Museums | Capitol Building | National Mall,2026-06-08,28.7,18.3,30.8,0.0,Overcast,14h 49m,Summer,No risk,Highly recommended,8.0
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,Lincoln Memorial | Smithsonian Museums | Capitol Building | National Mall,2026-06-09,30.5,14.7,30.5,0.0,Overcast,14h 50m,Summer,No risk,Highly recommended,8.0
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,Lincoln Memorial | Smithsonian Museums | Capitol Building | National Mall,2026-06-10,34.3,20.0,36.3,28.0,Moderate drizzle,14h 50m,Summer,No risk,Recommended,5.0
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,Lincoln Memorial | Smithsonian Museums | Capitol Building | National Mall,2026-06-11,36.0,21.7,39.9,21.0,Light showers,14h 51m,Summer,No risk,Recommended,5.0
Washington D.C.,38.8951,-77.0364,Americas,English,America/New_York,Lincoln Memorial | Smithsonian Museums | Capitol Building | National Mall,2026-06-12,34.9,21.1,39.8,36.0,Moderate showers,14h 51m,Summer,No risk,Recommended,5.0
